Id;Date;QuotationId
135;2016-03-22T00:00:00.000Z;44
136;2016-03-23T00:00:00.000Z;114
137;2016-03-24T00:00:00.000Z;123
138;2016-03-25T00:00:00.000Z;79
139;2016-03-26T00:00:00.000Z;93
140;2016-03-27T00:00:00.000Z;209
141;2016-03-28T00:00:00.000Z;120
142;2016-03-30T00:00:00.000Z;177
143;2016-03-31T00:00:00.000Z;76
144;2016-04-01T00:00:00.000Z;63
145;2016-04-02T00:00:00.000Z;170
10145;2016-04-03T00:00:00.000Z;163
10146;2016-04-04T00:00:00.000Z;157
10147;2016-04-05T00:00:00.000Z;95
10148;2016-04-06T00:00:00.000Z;40
10149;2016-04-07T00:00:00.000Z;189
10150;2016-04-08T00:00:00.000Z;65
10151;2016-04-09T00:00:00.000Z;162
10152;2016-04-10T00:00:00.000Z;168
10153;2016-04-11T00:00:00.000Z;90
10154;2016-04-12T00:00:00.000Z;129
10155;2016-04-13T00:00:00.000Z;58
10156;2016-04-14T00:00:00.000Z;77
10157;2016-04-15T00:00:00.000Z;34
10158;2016-04-16T00:00:00.000Z;126
10159;2016-04-17T00:00:00.000Z;43
10160;2016-04-18T00:00:00.000Z;166
10161;2016-04-19T00:00:00.000Z;206
10162;2016-04-20T00:00:00.000Z;26
10163;2016-04-21T00:00:00.000Z;50
10164;2016-04-22T00:00:00.000Z;178
10165;2016-04-23T00:00:00.000Z;186
10166;2016-04-24T00:00:00.000Z;47
10167;2016-04-25T00:00:00.000Z;166
10168;2016-04-26T00:00:00.000Z;7
10169;2016-04-28T00:00:00.000Z;78
10170;2016-04-29T00:00:00.000Z;173
10171;2016-04-30T00:00:00.000Z;173
10172;2016-05-01T00:00:00.000Z;92
10173;2016-05-02T00:00:00.000Z;182
10174;2016-05-03T00:00:00.000Z;17
10175;2016-05-04T00:00:00.000Z;190
10176;2016-05-05T00:00:00.000Z;1
10177;2016-05-06T00:00:00.000Z;163
10178;2016-05-07T00:00:00.000Z;37
10179;2016-05-08T00:00:00.000Z;60
10180;2016-05-09T00:00:00.000Z;110
10181;2016-05-10T00:00:00.000Z;117
10182;2016-05-11T00:00:00.000Z;171
10183;2016-05-12T00:00:00.000Z;122
10184;2016-05-13T00:00:00.000Z;13
10185;2016-05-14T00:00:00.000Z;121
10186;2016-05-16T00:00:00.000Z;144
10187;2016-05-17T00:00:00.000Z;93
10188;2016-05-18T00:00:00.000Z;102
10189;2016-05-19T00:00:00.000Z;201
10190;2016-05-20T00:00:00.000Z;5
10191;2016-05-21T00:00:00.000Z;204
10192;2016-05-22T00:00:00.000Z;178
10193;2016-05-23T00:00:00.000Z;113
10194;2016-05-24T00:00:00.000Z;52
10195;2016-05-25T00:00:00.000Z;39
10196;2016-05-26T00:00:00.000Z;75
10197;2016-05-28T00:00:00.000Z;10
10198;2016-05-29T00:00:00.000Z;155
10199;2016-05-30T00:00:00.000Z;81
10200;2016-05-31T00:00:00.000Z;27
10201;2016-06-01T00:00:00.000Z;211
10202;2016-06-02T00:00:00.000Z;25
10203;2016-06-03T00:00:00.000Z;212
10204;2016-06-04T00:00:00.000Z;146
10205;2016-06-05T00:00:00.000Z;172
10206;2016-06-06T00:00:00.000Z;57
10207;2016-06-07T00:00:00.000Z;201
10208;2016-06-08T00:00:00.000Z;16
10209;2016-06-09T00:00:00.000Z;57
10210;2016-06-10T00:00:00.000Z;59
10211;2016-06-11T00:00:00.000Z;117
10212;2016-06-12T00:00:00.000Z;104
10213;2016-06-13T00:00:00.000Z;10
10214;2016-06-14T00:00:00.000Z;176
10215;2016-06-15T00:00:00.000Z;28
10216;2016-06-16T00:00:00.000Z;191
10217;2016-06-17T00:00:00.000Z;55
10218;2016-06-18T00:00:00.000Z;143
10219;2016-06-19T00:00:00.000Z;76
10220;2016-06-20T00:00:00.000Z;158
10221;2016-06-21T00:00:00.000Z;195
10222;2016-06-22T00:00:00.000Z;21
10223;2016-06-23T00:00:00.000Z;87
10224;2016-06-24T00:00:00.000Z;59
10225;2016-06-25T00:00:00.000Z;118
10226;2016-06-26T00:00:00.000Z;6
10227;2016-06-27T00:00:00.000Z;7
10228;2016-06-28T00:00:00.000Z;43
10229;2016-06-29T00:00:00.000Z;178
10230;2016-06-30T00:00:00.000Z;89
10231;2016-07-01T00:00:00.000Z;103
10232;2016-07-02T00:00:00.000Z;146
10233;2016-07-03T00:00:00.000Z;126
10234;2016-07-04T00:00:00.000Z;127
10235;2016-07-05T00:00:00.000Z;70
10236;2016-07-06T00:00:00.000Z;212
