Id;Date;QuotationId
10148;2016-04-06 00:00:00.000;40
10149;2016-04-07 00:00:00.000;189
10150;2016-04-08 00:00:00.000;65
10151;2016-04-09 00:00:00.000;162
10152;2016-04-10 00:00:00.000;168
10153;2016-04-11 00:00:00.000;90
10154;2016-04-12 00:00:00.000;129
10155;2016-04-13 00:00:00.000;58
10156;2016-04-14 00:00:00.000;77
10157;2016-04-15 00:00:00.000;34
10158;2016-04-16 00:00:00.000;126
10159;2016-04-17 00:00:00.000;43
10160;2016-04-18 00:00:00.000;166
10161;2016-04-19 00:00:00.000;206
10162;2016-04-20 00:00:00.000;26
10163;2016-04-21 00:00:00.000;50
10164;2016-04-22 00:00:00.000;178
10165;2016-04-23 00:00:00.000;186
10166;2016-04-24 00:00:00.000;47
10167;2016-04-25 00:00:00.000;166
10168;2016-04-26 00:00:00.000;7
10169;2016-04-28 00:00:00.000;78
10170;2016-04-29 00:00:00.000;173
10171;2016-04-30 00:00:00.000;173
10172;2016-05-01 00:00:00.000;92
10173;2016-05-02 00:00:00.000;182
10174;2016-05-03 00:00:00.000;17
10175;2016-05-04 00:00:00.000;190
10176;2016-05-05 00:00:00.000;1
10177;2016-05-06 00:00:00.000;163
10178;2016-05-07 00:00:00.000;37
10179;2016-05-08 00:00:00.000;60
10180;2016-05-09 00:00:00.000;110
10181;2016-05-10 00:00:00.000;117
10182;2016-05-11 00:00:00.000;171
10183;2016-05-12 00:00:00.000;122
10184;2016-05-13 00:00:00.000;13
10185;2016-05-14 00:00:00.000;121
10186;2016-05-16 00:00:00.000;144
10187;2016-05-17 00:00:00.000;93
10188;2016-05-18 00:00:00.000;102
10189;2016-05-19 00:00:00.000;201
10190;2016-05-20 00:00:00.000;5
10191;2016-05-21 00:00:00.000;204
10192;2016-05-22 00:00:00.000;178
10193;2016-05-23 00:00:00.000;113
10194;2016-05-24 00:00:00.000;52
10195;2016-05-25 00:00:00.000;39
10196;2016-05-26 00:00:00.000;75
10197;2016-05-28 00:00:00.000;10
10198;2016-05-29 00:00:00.000;155
10199;2016-05-30 00:00:00.000;81
10200;2016-05-31 00:00:00.000;27
10201;2016-06-01 00:00:00.000;211
10202;2016-06-02 00:00:00.000;25
10203;2016-06-03 00:00:00.000;212
10204;2016-06-04 00:00:00.000;146
10205;2016-06-05 00:00:00.000;172
10206;2016-06-06 00:00:00.000;57
10207;2016-06-07 00:00:00.000;201
10208;2016-06-08 00:00:00.000;16
10209;2016-06-09 00:00:00.000;57
10210;2016-06-10 00:00:00.000;59
10211;2016-06-11 00:00:00.000;117
10212;2016-06-12 00:00:00.000;104
10213;2016-06-13 00:00:00.000;10
10214;2016-06-14 00:00:00.000;176
10215;2016-06-15 00:00:00.000;28
10216;2016-06-16 00:00:00.000;191
10217;2016-06-17 00:00:00.000;55
10218;2016-06-18 00:00:00.000;143
10219;2016-06-19 00:00:00.000;76
10220;2016-06-20 00:00:00.000;158
10221;2016-06-21 00:00:00.000;195
10222;2016-06-22 00:00:00.000;21
10223;2016-06-23 00:00:00.000;87
10224;2016-06-24 00:00:00.000;59
10225;2016-06-25 00:00:00.000;118
10226;2016-06-26 00:00:00.000;6
10227;2016-06-27 00:00:00.000;7
10228;2016-06-28 00:00:00.000;43
10229;2016-06-29 00:00:00.000;178
10230;2016-06-30 00:00:00.000;89
10231;2016-07-01 00:00:00.000;103
10232;2016-07-02 00:00:00.000;146
10233;2016-07-03 00:00:00.000;126
10234;2016-07-04 00:00:00.000;127
10235;2016-07-05 00:00:00.000;70
10236;2016-07-06 00:00:00.000;212
10237;2016-07-07 00:00:00.000;212
10238;2016-07-08 00:00:00.000;144
10239;2016-07-09 00:00:00.000;199
10240;2016-07-10 00:00:00.000;180
10241;2016-07-11 00:00:00.000;155
10242;2016-07-12 00:00:00.000;185
10243;2016-07-13 00:00:00.000;143
10244;2016-07-14 00:00:00.000;38
10245;2016-07-15 00:00:00.000;5
10246;2016-07-16 00:00:00.000;178
10247;2016-07-17 00:00:00.000;139
10248;2016-07-18 00:00:00.000;80
10249;2016-07-19 00:00:00.000;160
10250;2016-07-20 00:00:00.000;37
10251;2016-07-21 00:00:00.000;146
10252;2016-07-22 00:00:00.000;120
10253;2016-07-23 00:00:00.000;171
10254;2016-07-25 00:00:00.000;59
10255;2016-07-26 00:00:00.000;35
10256;2016-07-27 00:00:00.000;75
10257;2016-07-28 00:00:00.000;29
10258;2016-07-29 00:00:00.000;36
10259;2016-07-30 00:00:00.000;60
10260;2016-07-31 00:00:00.000;29
10261;2016-08-01 00:00:00.000;146
10262;2016-08-02 00:00:00.000;21
10263;2016-08-03 00:00:00.000;159
10264;2016-08-04 00:00:00.000;149
10265;2016-08-05 00:00:00.000;47
10266;2016-08-06 00:00:00.000;157
10267;2016-08-07 00:00:00.000;139
10268;2016-08-08 00:00:00.000;163
10269;2016-08-09 00:00:00.000;99
10270;2016-08-10 00:00:00.000;145
10271;2016-08-11 00:00:00.000;12
10272;2016-08-13 00:00:00.000;81
10273;2016-08-14 00:00:00.000;209
10274;2016-08-15 00:00:00.000;86
10275;2016-08-16 00:00:00.000;12
10276;2016-08-17 00:00:00.000;149
10277;2016-08-19 00:00:00.000;186
10278;2016-08-20 00:00:00.000;164
10279;2016-08-21 00:00:00.000;68
10280;2016-08-22 00:00:00.000;54
10281;2016-08-23 00:00:00.000;137
10282;2016-08-24 00:00:00.000;193
10283;2016-08-25 00:00:00.000;156
10284;2016-08-26 00:00:00.000;23
10285;2016-08-28 00:00:00.000;47
10286;2016-08-29 00:00:00.000;209
10287;2016-08-31 00:00:00.000;47
10288;2016-09-01 00:00:00.000;132
10289;2016-09-03 00:00:00.000;119
10290;2016-09-05 00:00:00.000;79
10291;2016-09-06 00:00:00.000;217
10292;2016-09-08 00:00:00.000;157
10293;2016-09-09 00:00:00.000;42
10294;2016-09-10 00:00:00.000;18
10295;2016-09-11 00:00:00.000;81
10296;2016-09-12 00:00:00.000;35
